userId,productId,interaction,timestamp
205,487,review,2025-09-30 09:18:44.826765
155,328,wishlist,2025-09-30 09:40:32.826765
149,461,view,2025-09-30 10:27:05.826765
169,359,view,2025-09-30 11:02:20.826765
221,425,view,2025-09-30 12:14:21.826765
144,294,view,2025-09-30 16:37:06.826765
63,463,cart,2025-09-30 18:26:15.826765
252,220,cart,2025-09-30 19:08:45.826765
128,111,view,2025-09-30 20:59:32.826765
233,25,view,2025-09-30 23:03:46.826765
163,343,cart,2025-09-30 23:26:08.826765
265,199,view,2025-09-30 23:43:18.826765
7,90,review,2025-10-01 01:45:55.826765
269,339,view,2025-10-01 03:36:45.826765
53,331,view,2025-10-01 03:54:05.826765
245,12,view,2025-10-01 05:14:17.826765
13,286,cart,2025-10-01 05:42:15.826765
179,81,view,2025-10-01 07:13:57.826765
239,438,view,2025-10-01 07:30:53.826765
166,396,cart,2025-10-01 07:41:15.826765
274,394,view,2025-10-01 08:04:40.826765
62,402,review,2025-10-01 08:29:09.826765
70,467,cart,2025-10-01 08:47:33.826765
16,23,view,2025-10-01 09:11:48.826765
161,218,review,2025-10-01 10:13:17.826765
55,327,wishlist,2025-10-01 11:43:57.826765
136,482,view,2025-10-01 15:22:49.826765
101,157,view,2025-10-01 15:27:10.826765
16,196,view,2025-10-01 17:45:28.826765
162,120,view,2025-10-01 18:21:16.826765
84,436,purchase,2025-10-01 20:04:18.826765
47,287,cart,2025-10-01 20:10:13.826765
273,456,cart,2025-10-01 20:53:00.826765
72,236,view,2025-10-01 23:45:21.826765
8,446,wishlist,2025-10-01 23:51:46.826765
183,40,cart,2025-10-02 01:18:24.826765
26,362,cart,2025-10-02 02:57:26.826765
90,357,view,2025-10-02 03:28:18.826765
125,360,view,2025-10-02 03:59:58.826765
47,451,view,2025-10-02 04:09:28.826765
144,240,cart,2025-10-02 04:43:57.826765
3,459,view,2025-10-02 04:53:08.826765
284,168,wishlist,2025-10-02 05:53:24.826765
288,336,view,2025-10-02 05:53:30.826765
25,326,wishlist,2025-10-02 06:59:02.826765
142,232,view,2025-10-02 07:40:26.826765
77,59,cart,2025-10-02 09:08:29.826765
45,83,cart,2025-10-02 09:09:23.826765
281,146,view,2025-10-02 10:22:37.826765
285,38,view,2025-10-02 11:16:22.826765
130,330,view,2025-10-02 12:26:17.826765
106,146,wishlist,2025-10-02 12:35:09.826765
201,132,purchase,2025-10-02 12:45:42.826765
203,82,view,2025-10-02 13:53:12.826765
114,393,view,2025-10-02 15:16:41.826765
96,373,wishlist,2025-10-02 17:19:27.826765
237,207,view,2025-10-02 17:32:43.826765
282,408,cart,2025-10-02 18:30:14.826765
297,70,view,2025-10-02 19:48:40.826765
99,334,view,2025-10-02 23:09:21.826765
23,411,view,2025-10-03 00:31:11.826765
53,392,view,2025-10-03 01:32:01.826765
201,204,review,2025-10-03 01:55:10.826765
86,333,cart,2025-10-03 02:29:31.826765
85,1,view,2025-10-03 05:27:10.826765
41,214,view,2025-10-03 07:06:42.826765
59,185,wishlist,2025-10-03 11:20:46.826765
231,279,cart,2025-10-03 12:14:37.826765
68,62,wishlist,2025-10-03 13:50:37.826765
90,126,view,2025-10-03 14:05:47.826765
272,253,view,2025-10-03 15:06:02.826765
180,308,view,2025-10-03 15:47:41.826765
102,329,view,2025-10-03 16:26:52.826765
203,204,view,2025-10-03 16:31:16.826765
264,231,view,2025-10-03 17:45:06.826765
131,376,review,2025-10-03 17:59:56.826765
103,175,view,2025-10-03 18:28:36.826765
193,498,cart,2025-10-03 18:40:23.826765
11,401,wishlist,2025-10-03 19:12:42.826765
50,377,view,2025-10-03 21:20:46.826765
69,403,view,2025-10-04 00:08:30.826765
217,312,cart,2025-10-04 00:26:06.826765
294,177,view,2025-10-04 02:49:07.826765
102,469,cart,2025-10-04 03:52:48.826765
177,493,view,2025-10-04 03:57:21.826765
141,153,view,2025-10-04 03:59:35.826765
177,190,view,2025-10-04 04:06:08.826765
58,270,view,2025-10-04 04:57:17.826765
10,298,review,2025-10-04 07:31:58.826765
164,385,cart,2025-10-04 09:03:39.826765
15,266,view,2025-10-04 09:05:19.826765
30,357,view,2025-10-04 10:11:48.826765
154,260,review,2025-10-04 12:35:06.826765
124,138,view,2025-10-04 12:59:46.826765
294,74,wishlist,2025-10-04 13:13:38.826765
281,167,wishlist,2025-10-04 13:22:17.826765
127,494,view,2025-10-04 14:05:26.826765
78,82,purchase,2025-10-04 15:11:31.826765
161,382,cart,2025-10-04 16:23:25.826765
89,442,review,2025-10-04 16:25:50.826765
198,416,view,2025-10-04 17:09:52.826765
149,108,cart,2025-10-04 18:09:57.826765
143,439,wishlist,2025-10-04 19:10:05.826765
242,396,view,2025-10-04 21:28:26.826765
156,198,review,2025-10-04 21:50:58.826765
182,37,wishlist,2025-10-04 21:54:39.826765
294,273,view,2025-10-04 22:02:59.826765
25,273,wishlist,2025-10-04 22:15:34.826765
20,461,view,2025-10-05 01:35:13.826765
239,480,view,2025-10-05 02:00:16.826765
207,430,cart,2025-10-05 02:34:40.826765
48,213,cart,2025-10-05 02:58:07.826765
262,333,review,2025-10-05 03:18:49.826765
206,405,wishlist,2025-10-05 04:07:24.826765
92,146,cart,2025-10-05 04:29:15.826765
49,469,view,2025-10-05 06:13:59.826765
210,2,view,2025-10-05 07:51:24.826765
72,458,view,2025-10-05 09:10:19.826765
46,230,cart,2025-10-05 09:51:48.826765
256,233,view,2025-10-05 11:11:43.826765
62,158,wishlist,2025-10-05 14:13:33.826765
107,211,view,2025-10-05 14:43:19.826765
104,363,wishlist,2025-10-05 17:18:24.826765
175,288,cart,2025-10-05 17:43:11.826765
59,243,wishlist,2025-10-05 18:53:43.826765
193,240,review,2025-10-05 19:27:42.826765
149,162,view,2025-10-05 21:08:57.826765
210,26,cart,2025-10-05 22:36:07.826765
285,129,view,2025-10-05 23:03:50.826765
224,143,cart,2025-10-05 23:15:50.826765
300,45,cart,2025-10-06 01:12:51.826765
124,424,view,2025-10-06 04:00:55.826765
247,297,cart,2025-10-06 04:27:04.826765
19,155,view,2025-10-06 05:11:00.826765
79,87,cart,2025-10-06 05:52:34.826765
129,237,wishlist,2025-10-06 07:28:12.826765
278,113,wishlist,2025-10-06 08:20:46.826765
83,7,wishlist,2025-10-06 08:48:48.826765
49,392,view,2025-10-06 08:56:13.826765
75,325,view,2025-10-06 10:58:40.826765
12,431,view,2025-10-06 12:06:39.826765
